total_epoch: 100, batch_size: 175, initial_lr 0.001, drop_lr: 0.5, drop_lr_per_epoch
epoch 1, classification loss 6.2087, train acc 0.41714, train_AUC 0.47313, train_F1: 0.49505
epoch 2, classification loss 3.5301, train acc 0.52571, train_AUC 0.5086, train_F1: 0.50299
epoch 3, classification loss 2.1918, train acc 0.57714, train_AUC 0.59227, train_F1: 0.38333
epoch 4, classification loss 1.3472, train acc 0.54857, train_AUC 0.55867, train_F1: 0.52695
epoch 5, classification loss 0.95143, train acc 0.60571, train_AUC 0.65667, train_F1: 0.31683
epoch 6, classification loss 2.5418, train acc 0.44571, train_AUC 0.65493, train_F1: 0.58723
epoch 7, classification loss 0.93533, train acc 0.61143, train_AUC 0.67653, train_F1: 0.30612
epoch 8, classification loss 2.5962, train acc 0.44, train_AUC 0.59787, train_F1: 0.59167
epoch 9, classification loss 0.87479, train acc 0.59429, train_AUC 0.696, train_F1: 0.14458
epoch 10, classification loss 2.3187, train acc 0.41714, train_AUC 0.69187, train_F1: 0.58197
epoch 11, classification loss 0.86532, train acc 0.63429, train_AUC 0.73533, train_F1: 0.25581
epoch 12, classification loss 2.1239, train acc 0.45714, train_AUC 0.65347, train_F1: 0.59574
epoch 13, classification loss 0.82335, train acc 0.62286, train_AUC 0.752, train_F1: 0.25
epoch 14, classification loss 1.9143, train acc 0.45714, train_AUC 0.72447, train_F1: 0.58874
epoch 15, classification loss 0.75386, train acc 0.66857, train_AUC 0.7938, train_F1: 0.38298
epoch 16, classification loss 1.858, train acc 0.48, train_AUC 0.7572, train_F1: 0.61277
epoch 17, classification loss 0.61378, train acc 0.70857, train_AUC 0.85233, train_F1: 0.49505
epoch 18, classification loss 1.665, train acc 0.45143, train_AUC 0.71453, train_F1: 0.59664
epoch 19, classification loss 0.52808, train acc 0.69714, train_AUC 0.8924, train_F1: 0.46465
epoch 20, classification loss 1.5406, train acc 0.49143, train_AUC 0.80573, train_F1: 0.62128
epoch 21, classification loss 0.57079, train acc 0.74857, train_AUC 0.87493, train_F1: 0.6
epoch 22, classification loss 1.455, train acc 0.48, train_AUC 0.78053, train_F1: 0.59556
epoch 23, classification loss 0.45254, train acc 0.78857, train_AUC 0.91973, train_F1: 0.67257
epoch 24, classification loss 1.2503, train acc 0.50857, train_AUC 0.82493, train_F1: 0.61607
epoch 25, classification loss 0.49714, train acc 0.73714, train_AUC 0.8968, train_F1: 0.57407
epoch 26, classification loss 1.1935, train acc 0.56571, train_AUC 0.81667, train_F1: 0.6381
epoch 27, classification loss 0.45127, train acc 0.77714, train_AUC 0.92907, train_F1: 0.65487
epoch 28, classification loss 1.0894, train acc 0.54286, train_AUC 0.85733, train_F1: 0.62617
epoch 29, classification loss 0.48505, train acc 0.8, train_AUC 0.9156, train_F1: 0.69565
epoch 30, classification loss 0.98759, train acc 0.59429, train_AUC 0.91627, train_F1: 0.66667
epoch 31, classification loss 0.35901, train acc 0.82857, train_AUC 0.95467, train_F1: 0.75
epoch 32, classification loss 0.85715, train acc 0.63429, train_AUC 0.92393, train_F1: 0.69231
epoch 33, classification loss 0.33205, train acc 0.84, train_AUC 0.96533, train_F1: 0.77049
epoch 34, classification loss 0.76074, train acc 0.65714, train_AUC 0.9214, train_F1: 0.69697
epoch 35, classification loss 0.30111, train acc 0.86857, train_AUC 0.97307, train_F1: 0.8189
epoch 36, classification loss 0.70441, train acc 0.70857, train_AUC 0.93147, train_F1: 0.73298
epoch 37, classification loss 0.26895, train acc 0.88, train_AUC 0.97627, train_F1: 0.83721
epoch 38, classification loss 0.52938, train acc 0.76571, train_AUC 0.9818, train_F1: 0.78307
epoch 39, classification loss 0.21361, train acc 0.93143, train_AUC 0.98853, train_F1: 0.91304
epoch 40, classification loss 0.44439, train acc 0.8, train_AUC 0.96987, train_F1: 0.8
epoch 41, classification loss 0.2025, train acc 0.91429, train_AUC 0.98187, train_F1: 0.89051
epoch 42, classification loss 0.35773, train acc 0.81714, train_AUC 0.9788, train_F1: 0.81609
epoch 43, classification loss 0.13746, train acc 0.96571, train_AUC 0.9952, train_F1: 0.95833
epoch 44, classification loss 0.29247, train acc 0.84, train_AUC 0.9732, train_F1: 0.82716
epoch 45, classification loss 0.16435, train acc 0.93714, train_AUC 0.9898, train_F1: 0.92086
epoch 46, classification loss 0.29106, train acc 0.88571, train_AUC 0.98747, train_F1: 0.87805
epoch 47, classification loss 0.13398, train acc 0.96, train_AUC 0.9936, train_F1: 0.95105
epoch 48, classification loss 0.21051, train acc 0.87429, train_AUC 0.97747, train_F1: 0.85526
epoch 49, classification loss 0.081938, train acc 0.97143, train_AUC 0.99753, train_F1: 0.96552
epoch 50, classification loss 0.065199, train acc 0.97143, train_AUC 0.99733, train_F1: 0.96552
