total_epoch: 100, batch_size: 175, initial_lr 0.001, drop_lr: 0.5, drop_lr_per_epoch
epoch 1, classification loss 4.4408, train acc 0.58857, train_AUC 0.65253, train_F1: 0.63265
epoch 2, classification loss 3.795, train acc 0.53714, train_AUC 0.51187, train_F1: 0.52071
epoch 3, classification loss 2.093, train acc 0.52571, train_AUC 0.48567, train_F1: 0.26549
epoch 4, classification loss 2.1248, train acc 0.48571, train_AUC 0.59173, train_F1: 0.57143
epoch 5, classification loss 1.7811, train acc 0.58286, train_AUC 0.57253, train_F1: 0.24742
epoch 6, classification loss 2.1156, train acc 0.50286, train_AUC 0.58933, train_F1: 0.59535
epoch 7, classification loss 1.6272, train acc 0.52571, train_AUC 0.56473, train_F1: 0.19417
epoch 8, classification loss 1.9762, train acc 0.45714, train_AUC 0.58307, train_F1: 0.54106
epoch 9, classification loss 1.4564, train acc 0.54857, train_AUC 0.65187, train_F1: 0.20202
epoch 10, classification loss 1.9034, train acc 0.48, train_AUC 0.6202, train_F1: 0.56459
epoch 11, classification loss 1.3535, train acc 0.6, train_AUC 0.65013, train_F1: 0.32692
epoch 12, classification loss 1.6517, train acc 0.53714, train_AUC 0.646, train_F1: 0.58031
epoch 13, classification loss 1.3082, train acc 0.60571, train_AUC 0.72747, train_F1: 0.24176
epoch 14, classification loss 1.6787, train acc 0.48571, train_AUC 0.65507, train_F1: 0.55882
epoch 15, classification loss 1.1657, train acc 0.65143, train_AUC 0.70493, train_F1: 0.41905
epoch 16, classification loss 1.5357, train acc 0.56571, train_AUC 0.68347, train_F1: 0.62
epoch 17, classification loss 1.1508, train acc 0.64, train_AUC 0.7242, train_F1: 0.46154
epoch 18, classification loss 1.3948, train acc 0.58857, train_AUC 0.734, train_F1: 0.625
epoch 19, classification loss 1.3686, train acc 0.61714, train_AUC 0.65167, train_F1: 0.34951
epoch 20, classification loss 1.0068, train acc 0.64, train_AUC 0.78547, train_F1: 0.66667
epoch 21, classification loss 1.1973, train acc 0.66286, train_AUC 0.74867, train_F1: 0.41584
epoch 22, classification loss 1.1126, train acc 0.62857, train_AUC 0.7714, train_F1: 0.66321
epoch 23, classification loss 1.2581, train acc 0.64571, train_AUC 0.74753, train_F1: 0.38
epoch 24, classification loss 0.76229, train acc 0.67429, train_AUC 0.8542, train_F1: 0.68852
epoch 25, classification loss 1.1571, train acc 0.69714, train_AUC 0.77033, train_F1: 0.47525
epoch 26, classification loss 0.86784, train acc 0.69714, train_AUC 0.83473, train_F1: 0.71038
epoch 27, classification loss 0.9901, train acc 0.68571, train_AUC 0.78213, train_F1: 0.47619
epoch 28, classification loss 0.83604, train acc 0.69143, train_AUC 0.84093, train_F1: 0.7
epoch 29, classification loss 0.76268, train acc 0.74286, train_AUC 0.8388, train_F1: 0.61538
epoch 30, classification loss 0.77916, train acc 0.69714, train_AUC 0.83153, train_F1: 0.69364
epoch 31, classification loss 0.75311, train acc 0.73143, train_AUC 0.8684, train_F1: 0.56881
epoch 32, classification loss 0.73581, train acc 0.73714, train_AUC 0.8954, train_F1: 0.75
epoch 33, classification loss 0.53053, train acc 0.81714, train_AUC 0.91887, train_F1: 0.72881
epoch 34, classification loss 0.62793, train acc 0.76571, train_AUC 0.92353, train_F1: 0.76836
epoch 35, classification loss 0.50554, train acc 0.8, train_AUC 0.922, train_F1: 0.70588
epoch 36, classification loss 0.57911, train acc 0.76, train_AUC 0.9376, train_F1: 0.76667
epoch 37, classification loss 0.46346, train acc 0.78857, train_AUC 0.94907, train_F1: 0.67257
epoch 38, classification loss 0.38907, train acc 0.85143, train_AUC 0.98107, train_F1: 0.85057
epoch 39, classification loss 0.43155, train acc 0.79429, train_AUC 0.95067, train_F1: 0.69492
epoch 40, classification loss 0.25947, train acc 0.88, train_AUC 0.99027, train_F1: 0.87425
epoch 41, classification loss 0.30055, train acc 0.85143, train_AUC 0.96293, train_F1: 0.79365
epoch 42, classification loss 0.32888, train acc 0.90286, train_AUC 0.98147, train_F1: 0.89441
epoch 43, classification loss 0.40731, train acc 0.85714, train_AUC 0.9612, train_F1: 0.8
epoch 44, classification loss 0.18644, train acc 0.91429, train_AUC 0.99187, train_F1: 0.90446
epoch 45, classification loss 0.28763, train acc 0.88571, train_AUC 0.98013, train_F1: 0.84615
epoch 46, classification loss 0.25968, train acc 0.90857, train_AUC 0.9836, train_F1: 0.89873
epoch 47, classification loss 0.31466, train acc 0.88, train_AUC 0.97347, train_F1: 0.83721
epoch 48, classification loss 0.15991, train acc 0.96, train_AUC 0.9972, train_F1: 0.95484
epoch 49, classification loss 0.169, train acc 0.89143, train_AUC 0.98133, train_F1: 0.85496
epoch 50, classification loss 0.069227, train acc 0.95429, train_AUC 0.99627, train_F1: 0.94366
epoch 51, classification loss 0.05711, train acc 0.96571, train_AUC 0.9986, train_F1: 0.95833
epoch 52, classification loss 0.033128, train acc 0.98286, train_AUC 0.9992, train_F1: 0.97959
epoch 53, classification loss 0.058957, train acc 0.97143, train_AUC 0.99733, train_F1: 0.96552
epoch 54, classification loss 0.055232, train acc 0.96571, train_AUC 0.9972, train_F1: 0.95833
epoch 55, classification loss 0.030089, train acc 0.98857, train_AUC 0.99933, train_F1: 0.98649
epoch 56, classification loss 0.045531, train acc 0.97143, train_AUC 0.998, train_F1: 0.96552
epoch 57, classification loss 0.051146, train acc 0.98857, train_AUC 0.9982, train_F1: 0.98649
epoch 58, classification loss 0.049807, train acc 0.98286, train_AUC 0.9982, train_F1: 0.97959
epoch 59, classification loss 0.036899, train acc 0.96571, train_AUC 0.9988, train_F1: 0.95833
epoch 60, classification loss 0.047373, train acc 0.96571, train_AUC 0.998, train_F1: 0.95833
epoch 61, classification loss 0.046157, train acc 0.98286, train_AUC 0.99787, train_F1: 0.97959
epoch 62, classification loss 0.042277, train acc 0.97143, train_AUC 0.99833, train_F1: 0.96552
epoch 63, classification loss 0.044128, train acc 0.97714, train_AUC 0.99813, train_F1: 0.9726
epoch 64, classification loss 0.055803, train acc 0.96, train_AUC 0.99673, train_F1: 0.95105
epoch 65, classification loss 0.036817, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 66, classification loss 0.067616, train acc 0.97143, train_AUC 0.996, train_F1: 0.96552
epoch 67, classification loss 0.028116, train acc 0.99429, train_AUC 0.9996, train_F1: 0.99329
epoch 68, classification loss 0.028515, train acc 0.98857, train_AUC 0.99933, train_F1: 0.98649
epoch 69, classification loss 0.067377, train acc 0.95429, train_AUC 0.9952, train_F1: 0.94366
epoch 70, classification loss 0.043584, train acc 0.96, train_AUC 0.99813, train_F1: 0.95105
epoch 71, classification loss 0.060799, train acc 0.96571, train_AUC 0.9964, train_F1: 0.95833
epoch 72, classification loss 0.059795, train acc 0.97714, train_AUC 0.9984, train_F1: 0.97333
epoch 73, classification loss 0.06734, train acc 0.96571, train_AUC 0.9956, train_F1: 0.95833
epoch 74, classification loss 0.057716, train acc 0.96, train_AUC 0.9972, train_F1: 0.95172
epoch 75, classification loss 0.046899, train acc 0.97143, train_AUC 0.998, train_F1: 0.96552
epoch 76, classification loss 0.047535, train acc 0.94857, train_AUC 0.9982, train_F1: 0.93617
epoch 77, classification loss 0.023766, train acc 0.97714, train_AUC 0.99947, train_F1: 0.9726
epoch 78, classification loss 0.051491, train acc 0.97714, train_AUC 0.9976, train_F1: 0.9726
epoch 79, classification loss 0.063374, train acc 0.97143, train_AUC 0.99633, train_F1: 0.96552
epoch 80, classification loss 0.055452, train acc 0.96571, train_AUC 0.9968, train_F1: 0.95833
epoch 81, classification loss 0.071296, train acc 0.96571, train_AUC 0.9952, train_F1: 0.95833
epoch 82, classification loss 0.039608, train acc 0.96571, train_AUC 0.9984, train_F1: 0.95833
epoch 83, classification loss 0.039608, train acc 0.97143, train_AUC 0.99833, train_F1: 0.96552
epoch 84, classification loss 0.055452, train acc 0.96, train_AUC 0.99673, train_F1: 0.95105
epoch 85, classification loss 0.035648, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 86, classification loss 0.039608, train acc 0.98286, train_AUC 0.9986, train_F1: 0.97959
epoch 87, classification loss 0.035648, train acc 0.98286, train_AUC 0.9988, train_F1: 0.97959
epoch 88, classification loss 0.055452, train acc 0.96571, train_AUC 0.9968, train_F1: 0.95833
epoch 89, classification loss 0.067334, train acc 0.97143, train_AUC 0.996, train_F1: 0.96552
epoch 90, classification loss 0.027726, train acc 0.97714, train_AUC 0.9992, train_F1: 0.9726
epoch 91, classification loss 0.04753, train acc 0.97143, train_AUC 0.99767, train_F1: 0.96552
epoch 92, classification loss 0.04753, train acc 0.97143, train_AUC 0.99767, train_F1: 0.96552
epoch 93, classification loss 0.035648, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 94, classification loss 0.039608, train acc 0.97714, train_AUC 0.9984, train_F1: 0.9726
