total_epoch: 100, batch_size: 175, initial_lr 0.001, drop_lr: 0.5, drop_lr_per_epoch
epoch 1, classification loss 5.7961, train acc 0.53714, train_AUC 0.53193, train_F1: 0.59701
epoch 2, classification loss 2.7808, train acc 0.53714, train_AUC 0.5734, train_F1: 0.52071
epoch 3, classification loss 2.7859, train acc 0.50857, train_AUC 0.47773, train_F1: 0.35821
epoch 4, classification loss 1.1085, train acc 0.57714, train_AUC 0.584, train_F1: 0.5
epoch 5, classification loss 0.79876, train acc 0.53714, train_AUC 0.58373, train_F1: 0.46358
epoch 6, classification loss 1.1047, train acc 0.59429, train_AUC 0.57747, train_F1: 0.41322
epoch 7, classification loss 1.5996, train acc 0.49714, train_AUC 0.59467, train_F1: 0.61739
epoch 8, classification loss 1.5802, train acc 0.59429, train_AUC 0.63267, train_F1: 0.10127
epoch 9, classification loss 1.5313, train acc 0.47429, train_AUC 0.66913, train_F1: 0.60345
epoch 10, classification loss 1.3982, train acc 0.58286, train_AUC 0.69187, train_F1: 0.051948
epoch 11, classification loss 1.4002, train acc 0.46286, train_AUC 0.72613, train_F1: 0.59483
epoch 12, classification loss 1.3181, train acc 0.57714, train_AUC 0.7118, train_F1: 0.026316
epoch 13, classification loss 1.2187, train acc 0.46286, train_AUC 0.7476, train_F1: 0.58772
epoch 14, classification loss 1.1171, train acc 0.57714, train_AUC 0.74187, train_F1: 0.051282
epoch 15, classification loss 1.2979, train acc 0.49143, train_AUC 0.7428, train_F1: 0.60793
epoch 16, classification loss 1.079, train acc 0.59429, train_AUC 0.74067, train_F1: 0.10127
epoch 17, classification loss 1.1538, train acc 0.53714, train_AUC 0.77427, train_F1: 0.62673
epoch 18, classification loss 1.0206, train acc 0.61143, train_AUC 0.8052, train_F1: 0.17073
epoch 19, classification loss 0.99358, train acc 0.58286, train_AUC 0.80293, train_F1: 0.65403
epoch 20, classification loss 1.0203, train acc 0.62857, train_AUC 0.83453, train_F1: 0.23529
epoch 21, classification loss 1.0176, train acc 0.62286, train_AUC 0.79813, train_F1: 0.67647
epoch 22, classification loss 0.81497, train acc 0.64571, train_AUC 0.83333, train_F1: 0.32609
epoch 23, classification loss 0.8528, train acc 0.64, train_AUC 0.87453, train_F1: 0.69565
epoch 24, classification loss 0.92664, train acc 0.64, train_AUC 0.80953, train_F1: 0.27586
epoch 25, classification loss 0.68515, train acc 0.66857, train_AUC 0.96067, train_F1: 0.71845
epoch 26, classification loss 0.74853, train acc 0.69714, train_AUC 0.88293, train_F1: 0.45361
epoch 27, classification loss 0.66627, train acc 0.69143, train_AUC 0.9, train_F1: 0.71579
epoch 28, classification loss 0.69739, train acc 0.70857, train_AUC 0.88347, train_F1: 0.48485
epoch 29, classification loss 0.63148, train acc 0.72571, train_AUC 0.93807, train_F1: 0.75
epoch 30, classification loss 0.67405, train acc 0.71429, train_AUC 0.89173, train_F1: 0.5
epoch 31, classification loss 0.62498, train acc 0.73143, train_AUC 0.92307, train_F1: 0.74595
epoch 32, classification loss 0.55952, train acc 0.74857, train_AUC 0.9276, train_F1: 0.58491
epoch 33, classification loss 0.55143, train acc 0.76, train_AUC 0.94373, train_F1: 0.76667
epoch 34, classification loss 0.53031, train acc 0.76, train_AUC 0.94453, train_F1: 0.61111
epoch 35, classification loss 0.52626, train acc 0.8, train_AUC 0.9596, train_F1: 0.80874
epoch 36, classification loss 0.46101, train acc 0.77143, train_AUC 0.9392, train_F1: 0.63636
epoch 37, classification loss 0.45494, train acc 0.78857, train_AUC 0.9598, train_F1: 0.79096
epoch 38, classification loss 0.44314, train acc 0.82286, train_AUC 0.93133, train_F1: 0.7395
epoch 39, classification loss 0.3703, train acc 0.82286, train_AUC 0.96533, train_F1: 0.81212
epoch 40, classification loss 0.36521, train acc 0.83429, train_AUC 0.96453, train_F1: 0.76033
epoch 41, classification loss 0.31306, train acc 0.84, train_AUC 0.9748, train_F1: 0.82927
epoch 42, classification loss 0.31994, train acc 0.84571, train_AUC 0.97427, train_F1: 0.78049
epoch 43, classification loss 0.28579, train acc 0.88571, train_AUC 0.9784, train_F1: 0.87179
epoch 44, classification loss 0.26947, train acc 0.86286, train_AUC 0.9758, train_F1: 0.80952
epoch 45, classification loss 0.22404, train acc 0.88, train_AUC 0.98547, train_F1: 0.86792
epoch 46, classification loss 0.21885, train acc 0.88, train_AUC 0.98567, train_F1: 0.83721
epoch 47, classification loss 0.19409, train acc 0.94286, train_AUC 0.996, train_F1: 0.9359
epoch 48, classification loss 0.1838, train acc 0.90857, train_AUC 0.99087, train_F1: 0.8806
epoch 49, classification loss 0.1452, train acc 0.94286, train_AUC 0.99387, train_F1: 0.93421
epoch 50, classification loss 0.073683, train acc 0.97714, train_AUC 0.99787, train_F1: 0.9726
epoch 51, classification loss 0.070539, train acc 0.96571, train_AUC 0.9972, train_F1: 0.95833
epoch 52, classification loss 0.06637, train acc 0.96, train_AUC 0.9972, train_F1: 0.95105
epoch 53, classification loss 0.052863, train acc 0.97143, train_AUC 0.99867, train_F1: 0.96552
epoch 54, classification loss 0.055939, train acc 0.97143, train_AUC 0.9976, train_F1: 0.96552
epoch 55, classification loss 0.068694, train acc 0.95429, train_AUC 0.99627, train_F1: 0.94444
epoch 56, classification loss 0.056442, train acc 0.97714, train_AUC 0.9976, train_F1: 0.9726
epoch 57, classification loss 0.039882, train acc 0.98286, train_AUC 0.9988, train_F1: 0.97959
epoch 58, classification loss 0.057458, train acc 0.97143, train_AUC 0.997, train_F1: 0.96552
epoch 59, classification loss 0.04306, train acc 0.96, train_AUC 0.9986, train_F1: 0.95105
epoch 60, classification loss 0.034732, train acc 0.98286, train_AUC 0.999, train_F1: 0.97959
epoch 61, classification loss 0.038266, train acc 0.97714, train_AUC 0.9986, train_F1: 0.97297
epoch 62, classification loss 0.043013, train acc 0.97143, train_AUC 0.99833, train_F1: 0.96552
epoch 63, classification loss 0.03997, train acc 0.96571, train_AUC 0.9984, train_F1: 0.95833
epoch 64, classification loss 0.045433, train acc 0.96571, train_AUC 0.998, train_F1: 0.95833
epoch 65, classification loss 0.044275, train acc 0.97143, train_AUC 0.99833, train_F1: 0.96552
epoch 66, classification loss 0.059901, train acc 0.97714, train_AUC 0.99707, train_F1: 0.9726
epoch 67, classification loss 0.061308, train acc 0.96571, train_AUC 0.9964, train_F1: 0.95833
epoch 68, classification loss 0.039754, train acc 0.98857, train_AUC 0.99893, train_F1: 0.98649
