total_epoch: 100, batch_size: 175, initial_lr 0.001, drop_lr: 0.5, drop_lr_per_epoch
epoch 1, classification loss 5.6019, train acc 0.46857, train_AUC 0.498, train_F1: 0.53731
epoch 2, classification loss 3.1686, train acc 0.51429, train_AUC 0.57553, train_F1: 0.51977
epoch 3, classification loss 3.2299, train acc 0.56, train_AUC 0.5372, train_F1: 0.384
epoch 4, classification loss 1.9139, train acc 0.48, train_AUC 0.51627, train_F1: 0.40523
epoch 5, classification loss 0.88682, train acc 0.57143, train_AUC 0.6134, train_F1: 0.46043
epoch 6, classification loss 1.6499, train acc 0.48571, train_AUC 0.64013, train_F1: 0.58333
epoch 7, classification loss 1.6761, train acc 0.56, train_AUC 0.5332, train_F1: 0.072289
epoch 8, classification loss 1.4804, train acc 0.49143, train_AUC 0.6608, train_F1: 0.6009
epoch 9, classification loss 1.5931, train acc 0.6, train_AUC 0.57893, train_F1: 0.125
epoch 10, classification loss 1.395, train acc 0.49714, train_AUC 0.6856, train_F1: 0.60714
epoch 11, classification loss 1.3657, train acc 0.57714, train_AUC 0.67213, train_F1: 0.075
epoch 12, classification loss 1.2972, train acc 0.51429, train_AUC 0.72827, train_F1: 0.62555
epoch 13, classification loss 1.4212, train acc 0.57714, train_AUC 0.68213, train_F1: 0.026316
epoch 14, classification loss 1.2022, train acc 0.50857, train_AUC 0.70367, train_F1: 0.60185
epoch 15, classification loss 1.2562, train acc 0.6, train_AUC 0.7248, train_F1: 0.14634
epoch 16, classification loss 1.1855, train acc 0.49714, train_AUC 0.714, train_F1: 0.6
epoch 17, classification loss 1.1385, train acc 0.61714, train_AUC 0.76547, train_F1: 0.19277
epoch 18, classification loss 0.97357, train acc 0.55429, train_AUC 0.81767, train_F1: 0.63889
epoch 19, classification loss 1.1, train acc 0.62857, train_AUC 0.74827, train_F1: 0.23529
epoch 20, classification loss 0.99275, train acc 0.55429, train_AUC 0.7684, train_F1: 0.63551
epoch 21, classification loss 1.0239, train acc 0.63429, train_AUC 0.80127, train_F1: 0.27273
epoch 22, classification loss 0.92761, train acc 0.62857, train_AUC 0.8452, train_F1: 0.68599
epoch 23, classification loss 0.90745, train acc 0.65143, train_AUC 0.8428, train_F1: 0.31461
epoch 24, classification loss 0.94011, train acc 0.6, train_AUC 0.82393, train_F1: 0.66346
epoch 25, classification loss 0.95075, train acc 0.64, train_AUC 0.79267, train_F1: 0.27586
epoch 26, classification loss 0.76616, train acc 0.61714, train_AUC 0.88507, train_F1: 0.67317
epoch 27, classification loss 0.84278, train acc 0.66286, train_AUC 0.85373, train_F1: 0.35165
epoch 28, classification loss 0.88482, train acc 0.58857, train_AUC 0.86027, train_F1: 0.65714
epoch 29, classification loss 0.7776, train acc 0.70286, train_AUC 0.8828, train_F1: 0.46939
epoch 30, classification loss 0.82054, train acc 0.65714, train_AUC 0.8982, train_F1: 0.70588
epoch 31, classification loss 0.83916, train acc 0.67429, train_AUC 0.85773, train_F1: 0.3871
epoch 32, classification loss 0.65755, train acc 0.68571, train_AUC 0.92553, train_F1: 0.72081
epoch 33, classification loss 0.64485, train acc 0.73714, train_AUC 0.88053, train_F1: 0.55769
epoch 34, classification loss 0.59009, train acc 0.69143, train_AUC 0.9476, train_F1: 0.72449
epoch 35, classification loss 0.69335, train acc 0.76, train_AUC 0.87027, train_F1: 0.61111
epoch 36, classification loss 0.5785, train acc 0.72571, train_AUC 0.9396, train_F1: 0.74737
epoch 37, classification loss 0.59175, train acc 0.73714, train_AUC 0.88813, train_F1: 0.56604
epoch 38, classification loss 0.52728, train acc 0.74857, train_AUC 0.95947, train_F1: 0.76596
epoch 39, classification loss 0.50986, train acc 0.77714, train_AUC 0.9488, train_F1: 0.64865
epoch 40, classification loss 0.42487, train acc 0.80571, train_AUC 0.96293, train_F1: 0.80233
